地域区分,睡眠,用事,食事,通学,学業,趣味
01_北海道,439.0,74.0,79.0,60.0,465.0,8.0
02_青森県,411.0,74.0,73.0,98.0,480.0,13.0
03_岩手県,442.0,61.0,87.0,98.0,539.0,8.0
04_宮城県,425.0,56.0,114.0,41.0,400.0,
05_秋田県,447.0,73.0,85.0,42.0,501.0,8.0
06_山形県,,,,,,
07_福島県,,,,,,
08_茨城県,407.0,61.0,80.0,79.0,552.0,11.0
09_栃木県,433.0,76.0,113.0,50.0,445.0,57.0
10_群馬県,411.0,77.0,108.0,79.0,418.0,7.0
11_埼玉県,431.0,68.0,82.0,79.0,370.0,14.0
12_千葉県,499.0,63.0,96.0,64.0,374.0,63.0
13_東京都,454.0,71.0,80.0,99.0,520.0,27.0
14_神奈川県,380.0,71.0,89.0,102.0,518.0,3.0
15_新潟県,,,,,,
16_富山県,429.0,41.0,76.0,100.0,578.0,1.0
17_石川県,423.0,59.0,75.0,64.0,582.0,2.0
18_福井県,362.0,60.0,83.0,48.0,752.0,3.0
19_山梨県,427.0,65.0,73.0,69.0,527.0,5.0
20_長野県,393.0,81.0,98.0,50.0,487.0,25.0
21_岐阜県,421.0,68.0,86.0,70.0,481.0,19.0
22_静岡県,425.0,79.0,73.0,81.0,543.0,42.0
23_愛知県,436.0,78.0,92.0,69.0,318.0,95.0
24_三重県,449.0,60.0,91.0,104.0,530.0,2.0
25_滋賀県,,,,,,
26_京都府,451.0,95.0,96.0,105.0,375.0,4.0
27_大阪府,342.0,69.0,96.0,90.0,544.0,14.0
28_兵庫県,457.0,58.0,77.0,73.0,463.0,43.0
29_奈良県,440.0,53.0,97.0,70.0,483.0,17.0
30_和歌山県,466.0,60.0,68.0,71.0,481.0,16.0
31_鳥取県,,,,,,
32_島根県,433.0,69.0,81.0,58.0,445.0,8.0
33_岡山県,448.0,77.0,77.0,71.0,447.0,21.0
34_広島県,423.0,87.0,92.0,58.0,469.0,17.0
35_山口県,422.0,83.0,84.0,58.0,561.0,64.0
36_徳島県,400.0,74.0,85.0,62.0,520.0,23.0
37_香川県,443.0,79.0,72.0,60.0,620.0,21.0
38_愛媛県,383.0,126.0,74.0,81.0,524.0,
39_高知県,,,,,,
40_福岡県,410.0,84.0,88.0,81.0,594.0,6.0
41_佐賀県,418.0,100.0,86.0,52.0,403.0,0.0
42_長崎県,398.0,57.0,106.0,78.0,483.0,22.0
43_熊本県,444.0,40.0,85.0,65.0,568.0,
44_大分県,386.0,41.0,76.0,43.0,419.0,6.0
45_宮崎県,407.0,52.0,80.0,105.0,496.0,20.0
46_鹿児島県,407.0,58.0,88.0,56.0,537.0,9.0
47_沖縄県,447.0,67.0,90.0,72.0,482.0,13.0
