1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
52522,49950,49784,48912,49065,46680,46780,46236,46101,44939,44020,41420,42204,41550,41074,40165,40158,39292,38686,38190,37058,36695,35125,34040
14767,13972,13955,13606,13594,13146,12920,12889,12434,11723,11554,10524,10556,10162,10187,9523,9711,9531,9168,9126,8853,8621,8626,8035
13672,13021,12845,12423,12778,12420,12410,12272,11862,11376,11167,10545,10556,10344,10223,9904,9745,9310,9276,9231,8803,8814,8341,8175
22759,22267,22155,21978,22312,21886,22154,21751,21474,20829,20236,19326,19706,19810,19863,18988,19126,18062,18707,18949,18069,17999,17347,16648
10742,9995,9744,9656,9367,9168,9007,8874,8456,8062,7998,7697,7726,7502,7421,7013,6688,6658,6543,6177,5998,5861,5666,5396
12158,11507,11643,11215,11030,10815,10919,10907,10489,10087,9920,9357,9513,9139,9164,8715,8651,8555,8212,8159,7966,7831,7547,7259
22181,21306,21425,20646,20743,20497,20332,20008,19466,18824,18306,17538,17541,17101,16908,16326,16126,15072,13770,14546,14517,14195,13744,13217
29483,28234,28785,28331,28602,28261,28220,27864,27337,26523,26167,24244,25128,24829,24592,24209,23989,23219,22896,22358,21873,21700,20878,20431
19735,18662,19112,18642,18836,18485,18976,18911,18376,18122,17816,17363,17647,17233,17240,17004,16473,15913,15973,15588,15442,15306,14621,14029
20338,19431,19761,19481,19422,19111,19445,19024,18763,18337,17745,17134,17061,16817,17044,16310,16023,15637,14914,14732,14522,14256,13661,13279
69776,67750,68695,67585,67144,65711,66376,65417,64762,63224,61946,59731,61201,60818,60520,59725,59437,58059,56943,57470,55765,56077,54447,53069
56667,54388,55415,54574,54961,54005,55318,54511,54607,52789,52983,50588,51762,51821,52306,51839,51633,50379,48881,48343,46749,47014,45387,44054
101998,96823,97954,97906,98960,97959,100209,98421,100118,98534,99272,96542,101674,103837,106015,106613,108135,106027,107401,109986,110629,113194,111962,108990
83868,80692,82092,81699,83104,81792,82906,81839,81498,80262,79441,76196,79118,79193,79179,78057,78077,76000,75477,74320,72996,73475,70648,68131
24116,22694,22873,22484,22661,21812,21886,21301,20221,19719,19531,18505,18985,18724,18388,17948,18083,17667,17476,17066,16480,16339,15736,14967
10227,10049,10272,10139,10117,10139,10170,9994,9854,9362,9396,8973,8965,8728,8709,8426,8188,7823,7880,7722,7556,7567,7302,7178
11935,11093,11484,11318,11642,11290,11467,11342,10886,10906,10528,10049,10235,10294,10199,9849,9602,9555,9544,9449,8961,9072,8927,8696
8679,8244,8330,8132,8269,8053,8036,7958,7758,7446,7283,7148,7324,7191,7139,7042,6874,6728,6712,6461,6166,6230,6112,5856
9292,8833,8949,8754,8578,8318,8374,8126,7919,7720,7527,7149,7094,6988,6908,6621,6651,6412,6336,6198,6063,5987,5819,5705
22012,21187,21286,21133,21436,20765,21194,20889,20324,19735,19323,18517,18775,18618,18129,17310,17233,16917,16661,16326,15848,15638,15169,14519
20623,20187,20546,19930,20447,20151,20276,19603,19617,19156,18363,17706,18092,17696,17506,17327,16887,16851,16496,16000,15138,15464,14831,14039
37462,35345,36081,35606,35921,35395,35794,35193,35212,34061,33628,31908,32905,33274,32701,31901,31896,31172,30810,30260,28684,28352,27652,26261
74180,71899,73377,72992,75206,73738,74736,73057,71823,70236,70417,67110,69999,70218,71029,69768,69872,68973,67913,66825,65218,65615,64226,62436
18144,17500,17780,17660,17829,17375,17726,17094,17190,16497,16287,15345,15816,15716,15633,15614,15262,15080,14729,14514,13727,13950,13202,12663
13940,13320,13897,13708,14032,14040,14087,14015,13938,13624,13627,12899,13448,13343,13487,13151,13363,13338,13236,13015,12729,12622,12072,11598
24245,23219,24023,23595,24312,23831,23997,23364,22859,22371,22066,21560,22100,21597,21842,21058,21234,20707,20111,20106,19583,19662,19327,18521
88419,86076,89291,89043,90324,88385,88163,86000,83883,81001,79719,76111,77641,76914,77400,75250,75080,73919,73012,72054,69968,70596,68816,66602
54940,51947,53131,53356,54421,53765,54455,52585,52314,50520,49789,47273,48771,48685,48833,47592,47834,47351,46436,45673,44352,44015,43378,41605
13516,13337,13663,13444,13779,13158,13270,12768,12472,12137,11749,11184,11476,11261,10981,10758,10694,10400,10565,10190,9625,9832,9430,8965
10152,9879,10131,9789,9886,9563,9566,9345,8943,8561,8153,7835,7930,7689,7866,7516,7587,7460,7424,7122,7140,7030,6658,6464
6027,5723,5582,5603,5624,5352,5645,5595,5365,5473,5275,5012,5186,5015,4878,4876,4790,4931,4771,4759,4527,4624,4436,4310
7068,6764,6828,6518,6491,6394,6522,6640,6318,6092,6104,5697,6011,5914,5685,5601,5756,5582,5585,5534,5359,5551,5300,5109
19085,18622,19143,19154,19204,18771,19059,18797,18509,17770,17655,16688,17279,17099,17044,16387,16759,16635,16279,16210,15837,15599,15477,14910
28898,27609,28081,27942,27914,27119,27384,27328,26508,26285,25734,24740,25330,25887,25560,25596,25546,25469,24846,24713,23775,23678,22736,22150
13944,13240,13351,13226,13275,13138,13121,12989,12578,12166,12020,11514,11692,11714,11560,11312,11551,11222,10797,10705,10197,10360,9844,9455
7412,7472,7390,7176,7255,7135,7224,7038,6836,6556,6493,5913,6257,6011,5893,5898,5904,5914,5744,5666,5502,5586,5346,5182
9555,9301,9311,9511,9664,9651,9808,9472,9438,9123,9068,8686,8664,8701,8600,8366,8397,8311,8161,8059,7745,7719,7510,7387
14195,13849,13739,13710,13606,13046,13207,13006,12488,12534,12057,11528,11752,11753,11561,11507,11427,11329,11130,10696,10399,10146,9911,9569
7305,6939,7185,6807,6761,6649,6811,6736,6513,6244,6084,5916,6015,5717,5788,5415,5518,5244,5266,5266,5015,5052,4779,4837
48952,46849,47948,47539,47811,46682,47290,46985,46443,45035,45143,43421,45304,46393,46695,46084,46818,46220,45815,45897,45203,45235,44033,43438
9264,8729,8941,8909,8741,8551,8745,8561,8202,7898,7844,7508,7647,7703,7819,7518,7640,7613,7440,7276,7159,7064,6811,6743
15952,14780,15182,14431,14672,14121,14098,13789,13260,12971,12947,12148,12410,12175,12173,11838,12004,11727,11723,11566,11323,11020,10886,10558
18521,17895,18035,17451,17443,17109,17262,16960,16839,16339,16313,15645,16189,16307,16462,16221,16246,16118,15996,15954,15558,15577,14894,14657
11770,11125,11344,11103,11129,10714,10910,10891,10424,10213,10024,9780,10156,10162,10306,9961,10072,9988,9650,9605,9279,9112,9059,8658
12245,11693,11792,11501,11335,10938,11037,11007,10657,10220,10267,9738,10094,10337,10292,10170,10217,10152,9858,9854,9509,9226,8929,8797
17914,16649,16858,16427,16227,15663,16272,15943,15755,15535,15198,14834,15080,15090,15445,14920,15124,15244,14841,14637,14236,14125,13688,13209
17377,16751,17064,16614,16928,16680,16773,17169,16571,16303,16362,16115,16483,16588,16736,16744,17098,16918,17074,17209,16373,16941,16617,16217
