都道府県,国語A,国語B,数学A,数学B
北海道,79.4,49.9,66.0,59.4
青森県,81.0,52.0,69.3,60.7
岩手県,80.5,51.8,64.1,57.5
宮城県,80.3,52.0,65.6,59.4
秋田県,84.4,55.8,73.0,65.5
山形県,80.6,52.1,67.6,60.2
福島県,79.4,50.5,64.7,56.8
茨城県,79.9,52.3,66.5,57.8
栃木県,79.3,51.4,66.9,59.3
群馬県,81.1,54.2,69.2,62.6
埼玉県,79.4,51.5,66.2,59.3
千葉県,79.8,51.7,66.7,60.1
東京都,80.7,53.2,68.8,61.8
神奈川県,79.2,51.5,67.0,60.8
新潟県,79.5,50.3,67.9,59.8
富山県,82.3,55.1,71.1,63.6
石川県,81.9,53.7,70.9,63.4
福井県,83.0,55.9,74.3,66.9
山梨県,80.0,52.0,66.6,59.7
長野県,79.7,49.4,67.2,58.1
岐阜県,79.8,52.0,69.8,61.3
静岡県,80.8,52.5,70.9,63.7
愛知県,79.2,51.5,69.7,62.5
三重県,78.0,49.0,67.1,58.3
滋賀県,77.9,48.8,66.5,56.3
京都府,79.4,51.3,67.7,60.1
大阪府,77.0,47.2,65.0,56.9
兵庫県,79.9,51.1,69.6,61.3
奈良県,79.0,50.8,68.5,60.5
和歌山県,77.4,47.5,65.9,56.8
鳥取県,79.5,51.2,67.4,59.7
島根県,80.2,52.0,66.1,59.1
岡山県,78.2,48.1,65.4,55.9
広島県,80.1,50.9,68.4,60.5
山口県,80.7,52.4,70.3,62.6
徳島県,79.3,49.8,68.5,58.1
香川県,79.3,51.4,67.8,60.0
愛媛県,80.3,52.8,68.7,62.9
高知県,77.2,47.7,62.7,53.6
福岡県,78.4,49.6,65.6,57.8
佐賀県,78.0,48.8,64.0,56.5
長崎県,79.0,49.8,66.9,59.2
熊本県,79.0,51.3,67.4,61.6
大分県,79.8,50.2,66.6,57.4
宮崎県,78.4,50.2,68.4,59.9
鹿児島県,78.1,49.1,65.5,58.4
沖縄県,74.4,45.6,58.2,50.3
