都道府県,国語A,国語B,算数A,算数B
北海道,71.8,52.9,75.8,55.2
青森県,76.6,60.5,81.3,60.8
岩手県,73.7,58.3,78.9,58.7
宮城県,74.2,54.3,77.3,56.8
秋田県,77.4,67.3,85.1,66.2
山形県,74.3,56.7,77.8,57.7
福島県,73.3,57.0,78.7,57.8
茨城県,76.9,57.4,79.7,58.6
栃木県,71.9,54.5,77.7,56.8
群馬県,73.6,55.5,78.0,57.8
埼玉県,72.5,55.5,76.9,57.8
千葉県,75.8,55.5,78.2,58.8
東京都,75.5,57.2,79.4,61.2
神奈川県,71.3,54.6,76.9,58.6
新潟県,74.5,58.8,80.0,59.4
富山県,74.1,59.5,81.0,62.0
石川県,74.1,62.7,82.5,63.6
福井県,74.6,61.8,83.1,64.1
山梨県,70.1,55.0,77.0,57.6
長野県,72.6,57.0,79.1,59.0
岐阜県,70.2,54.8,76.9,56.9
静岡県,72.8,58.4,79.4,58.5
愛知県,70.5,52.4,75.8,57.4
三重県,69.6,52.5,76.2,56.0
滋賀県,71.0,52.7,75.6,55.3
京都府,73.3,56.9,79.9,59.7
大阪府,70.7,52.6,77.3,56.3
兵庫県,72.9,54.6,77.7,58.4
奈良県,73.2,53.5,78.6,57.7
和歌山県,69.4,53.4,76.8,55.7
鳥取県,77.0,56.5,78.6,58.1
島根県,73.6,54.5,76.3,56.5
岡山県,71.4,54.5,77.8,56.6
広島県,75.9,58.3,80.7,60.1
山口県,73.6,57.8,79.5,58.6
徳島県,70.1,53.8,76.9,55.8
香川県,75.5,58.8,78.5,59.5
愛媛県,72.6,57.2,77.9,57.6
高知県,74.4,55.0,79.2,57.9
福岡県,72.0,54.4,77.7,57.4
佐賀県,73.5,54.6,77.6,57.3
長崎県,71.9,53.5,78.0,57.2
熊本県,71.6,54.8,79.3,58.5
大分県,73.6,57.2,79.8,58.4
宮崎県,73.7,53.8,77.9,55.9
鹿児島県,72.5,55.2,78.5,55.3
沖縄県,72.0,54.5,80.9,57.1
