年,男0,男20,男40,男65,男75,男90,女0,女20,女40,女65,女75,女90
1947,50.06,40.89,26.88,10.16,6.09,2.56,53.96,44.87,30.39,12.22,7.03,2.45
1948,55.6,43.6,29.1,12,8,,59.4,47.3,32.5,14.2,9.3,
1949,56.2,44.3,29.2,11.7,7.6,,59.8,47.9,32.6,14,8.9,
1950,58,45.3,29.4,11.5,7.6,,61.5,48.7,32.7,13.9,9,
1951,60.8,47.9,31.4,,,,64.9,51.9,35.4,,,
1952,61.9,48,30.9,12.5,8.4,,65.5,51.4,34.2,14.8,9.8,
1953,61.9,48,30.6,11.9,7.6,,65.7,51.4,33.9,14.2,9.1,
1954,63.41,48.87,31.45,12.88,8.2,,67.69,52.86,35.22,15,9.24,
1955,63.6,48.47,30.85,11.82,6.97,2.87,67.75,52.25,34.34,14.13,8.28,3.12
1956,63.59,48.21,30.45,11.36,6.26,,67.54,51.92,33.85,13.54,7.61,
1957,63.24,47.87,30.04,11.01,6.27,,67.6,51.48,33.39,12.93,6.9,
1958,64.98,49.19,31.29,12.12,7.33,,69.61,53.48,35.23,14.71,8.93,
1959,65.21,49.31,31.3,11.91,6.81,,69.88,53.45,35.08,14.37,8.28,
1960,65.32,49.08,31.02,11.62,6.6,2.69,70.19,53.39,34.9,14.1,8.01,2.99
1961,66.03,49.58,31.44,11.88,6.69,,70.79,53.72,35.1,14.1,7.77,
1962,66.23,49.44,31.19,11.55,6.33,,71.16,53.85,35.15,14.09,7.76,
1963,67.21,50.1,31.79,12.1,6.84,,72.34,54.7,35.89,14.7,8.33,
1964,67.67,50.33,31.96,12.19,6.92,,72.87,54.99,36.11,14.83,8.42,
1965,67.74,50.18,31.73,11.88,6.63,2.56,72.92,54.85,35.91,14.56,8.11,2.96
1966,68.35,50.78,32.33,12.42,7.11,,73.61,55.53,36.55,15.11,8.62,
1967,68.91,51.06,32.56,12.5,7.11,,74.15,55.82,36.79,15.26,8.69,
1968,69.05,51.17,32.61,12.48,7.03,,74.3,55.93,36.86,15.26,8.61,
1969,69.18,51.24,32.71,12.53,7.11,,74.67,56.24,37.17,15.51,8.89,
1970,69.31,51.26,32.68,12.5,7.14,2.75,74.66,56.11,37.01,15.34,8.7,3.26
1971,70.17,52.05,33.42,13.08,7.54,,75.58,56.99,37.85,16,9.23,
1972,70.5,52.33,33.67,13.25,7.57,,75.94,57.28,38.11,16.17,9.26,
1973,70.7,52.46,33.74,13.22,7.44,,76.02,57.33,38.12,16.1,9.12,
1974,71.16,52.79,33.99,13.38,7.55,,76.31,57.54,38.3,16.18,9.15,
1975,71.73,53.27,34.41,13.72,7.85,3.05,76.89,58.04,38.76,16.56,9.47,3.39
1976,72.15,53.6,34.68,13.91,7.97,,77.35,58.43,39.11,16.8,9.63,
1977,72.69,54.07,35.12,14.29,8.23,,77.95,58.99,39.63,17.24,9.99,
1978,72.97,54.32,35.32,14.4,8.26,,78.33,59.32,39.95,17.48,10.17,
1979,73.46,54.72,35.7,14.75,8.54,,78.89,59.83,40.42,17.92,10.51,
1980,73.35,54.56,35.52,14.56,8.34,3.17,78.76,59.66,40.23,17.68,10.24,3.55
1981,73.79,54.95,35.88,14.85,8.55,3.28,79.13,60,40.55,17.93,10.41,3.5
1982,74.22,55.33,36.24,15.18,8.79,3.28,79.66,60.48,41.02,18.35,10.75,3.59
1983,74.2,55.25,36.2,15.19,8.74,3.21,79.78,60.56,41.1,18.4,10.75,3.49
1984,74.54,55.56,36.47,15.43,8.89,3.27,80.18,60.93,41.46,18.71,11,3.58
1985,74.78,55.74,36.63,15.52,8.93,3.28,80.48,61.2,41.72,18.94,11.19,3.82
1986,75.23,56.15,37.02,15.86,9.24,3.38,80.93,61.62,42.13,19.29,11.45,3.78
1987,75.61,56.5,37.35,16.12,9.43,3.51,81.39,62.05,42.54,19.67,11.77,3.92
1988,75.54,56.4,37.24,15.95,9.26,3.31,81.3,61.96,42.44,19.54,11.62,3.82
1989,75.91,56.74,37.56,16.22,9.52,3.44,81.77,62.41,42.89,19.95,12,4.02
1990,75.92,56.77,37.58,16.22,9.5,3.51,81.9,62.54,43,20.03,12.06,4.18
1991,76.11,56.9,37.7,16.31,9.59,3.37,82.11,62.73,43.18,20.2,12.18,3.95
1992,76.09,56.91,37.7,16.31,9.61,3.3,82.22,62.84,43.29,20.31,12.28,3.98
1993,76.25,57.02,37.8,16.41,9.74,3.6,82.51,63.13,43.55,20.57,12.55,4.45
1994,76.57,57.35,38.13,16.67,9.96,3.73,82.98,63.56,44,20.97,12.89,4.63
1995,76.38,57.16,37.96,16.48,9.81,3.58,82.85,63.46,43.91,20.94,12.88,4.64
1996,77.01,57.71,38.48,16.94,10.25,3.83,83.59,64.13,44.55,21.53,13.4,4.95
1997,77.19,57.86,38.62,17.02,10.29,3.81,83.82,64.36,44.79,21.75,13.58,5.03
1998,77.16,57.85,38.66,17.13,10.43,3.86,84.01,64.56,45.01,21.96,13.79,5.15
1999,77.1,57.74,38.56,17.02,10.28,3.76,83.99,64.5,44.94,21.89,13.71,5.05
2000,77.72,58.33,39.13,17.54,10.75,4.1,84.6,65.08,45.52,22.42,14.19,5.29
2001,78.07,58.64,39.43,17.78,10.95,4.19,84.93,65.39,45.82,22.68,14.42,5.41
2002,78.32,58.87,39.64,17.96,11.07,4.29,85.23,65.69,46.12,22.96,14.67,5.56
2003,78.36,58.89,39.67,18.02,11.09,4.26,85.33,65.79,46.22,23.04,14.72,5.57
2004,78.64,59.15,39.93,18.21,11.23,4.36,85.59,66.01,46.44,23.28,14.93,5.69
2005,78.56,59.08,39.86,18.13,11.07,4.15,85.52,65.93,46.38,23.19,14.83,5.53
2006,79,59.49,40.25,18.45,11.31,4.32,85.81,66.22,46.66,23.44,15.04,5.66
2007,79.19,59.66,40.4,18.56,11.4,4.4,85.99,66.39,46.82,23.59,15.16,5.72
2008,79.29,59.75,40.49,18.6,11.4,4.36,86.05,66.45,46.89,23.64,15.18,5.71
2009,79.59,60.04,40.78,18.88,11.63,4.48,86.44,66.81,47.25,23.97,15.46,5.86
2010,79.55,59.99,40.73,18.74,11.45,4.19,86.3,66.67,47.08,23.8,15.27,5.53
2011,79.44,59.93,40.69,18.69,11.43,4.14,85.9,66.35,46.84,23.66,15.16,5.46
2012,79.94,60.36,41.05,18.89,11.57,4.16,86.41,66.78,47.17,23.82,15.27,5.47
2013,80.21,60.61,41.29,19.08,11.74,4.26,86.61,66.94,47.32,23.97,15.39,5.53
2014,80.5,60.9,41.57,19.29,11.94,4.35,86.83,67.16,47.55,24.18,15.6,5.66
