Year,Male,Female
1947,50.06,53.96
1948,55.6,59.4
1949,56.2,59.8
1950,58.0,61.5
# 1950-1952,59.57,2.97
1951,60.8,64.9
1952,61.9,65.5
1953,61.9,65.7
1954,63.41,67.69
1955,63.60,67.75
1956,63.59,67.54
1957,63.24,67.60
1958,64.98,69.61
1959,65.21,69.88
1960,65.32,70.19
1961,66.03,70.79
1962,66.23,71.16
1963,67.21,72.34
1964,67.67,72.87
1965,67.74,72.92
1966,68.35,73.61
1967,68.91,74.15
1968,69.05,74.30
1969,69.18,74.67
1970,69.31,74.66
1971,70.17,75.58
1972,70.50,75.94
1973,70.70,76.02
1974,71.16,76.31
1975,71.73,76.89
1976,72.15,77.35
1977,72.69,77.95
1978,72.97,78.33
1979,73.46,78.89
1980,73.35,78.76
1981,73.79,79.13
1982,74.22,79.66
1983,74.20,79.78
1984,74.54,80.18
1985,74.78,80.48
1986,75.23,80.93
1987,75.61,81.39
1988,75.54,81.30
1989,75.91,81.77
1990,75.92,81.90
1991,76.11,82.11
1992,76.09,82.22
1993,76.25,82.51
1994,76.57,82.98
1995,76.38,82.85
1996,77.01,83.59
1997,77.19,83.82
1998,77.16,84.01
1999,77.10,83.99
2000,77.72,84.60
2001,78.07,84.93
2002,78.32,85.23
2003,78.36,85.33
2004,78.64,85.59
2005,78.56,85.52
2006,79.00,85.81
2007,79.19,85.99
2008,79.29,86.05
2009,79.59,86.44
2010,79.55,86.30
2011,79.44,85.90
2012,79.94,86.41
2013,80.21,86.61
2014,80.50,86.83
2015,80.75,86.99
2016,80.98,87.14
2017,81.09,87.26
2018,81.25,87.32
# http://www.mhlw.go.jp/toukei/saikin/hw/life/life13/index.html
# http://www.mhlw.go.jp/toukei/saikin/hw/seimei/list54-57-02.html
# https://www.mhlw.go.jp/toukei/saikin/hw/life/life18/index.html
