CNT,country,math_mean,math_low,math_top,math_change,reading_mean,reading_change,science_mean,science_change
QCN,Shanghai-China,612.6755363,3.793643471,55.42335095,4.199756687,569.5884077,4.586757639,580.1178308,1.833493919
SGP,Singapore,573.4683143,8.254584823,40.03930883,3.816524354,542.2158342,5.439772479,551.4931566,3.265879518
HKG,Hong Kong-China,561.2410965,8.516978596,33.70570796,1.320017599,544.600086,2.311932355,554.9374344,2.122607346
TAP,Chinese Taipei,559.8247962,12.84136965,37.20050386,1.742469518,523.1189039,4.477898829,523.3149045,-1.527828546
KOR,Korea,553.7666591,9.133106812,30.90140362,1.109651934,535.7904904,0.880591466,537.7876215,2.585324189
MAC,Macao-China,538.1344947,10.78142014,24.33725132,1.024376981,508.9492554,0.807894057,520.5708753,1.575214406
JPN,Japan,536.4069182,11.06230183,23.67060981,0.37183597,538.0514848,1.531417028,546.7355998,2.557584941
LIE,Liechtenstein,534.965083,14.07792922,24.84418645,0.296636657,515.5216541,1.270482732,524.6949923,0.398484169
CHE,Switzerland,530.931004,12.44278013,21.36818887,0.590712059,509.0402497,1.017539543,515.2975235,0.64910539
NLD,Netherlands,522.9717582,14.79354719,19.25078776,-1.638355939,511.2299652,-0.11906921,522.0558217,-0.465303756
EST,Estonia,520.5455217,10.54448347,14.59858898,0.863312969,516.2941843,2.408260883,541.4047562,1.462057582
FIN,Finland,518.7503353,12.26788303,15.25210592,-2.838668746,524.0216697,-1.739034814,545.44194,-2.980523363
CAN,Canada,518.0785194,13.82794096,16.39707032,-1.44193912,523.1167184,-0.872939847,525.4609698,-1.505937794
POL,Poland,517.5010968,14.38660475,16.7355962,2.557197818,518.1868805,2.761944593,525.8164454,4.603853713
BEL,Belgium,514.7452386,18.87858696,19.42339367,-1.610020433,509.1080485,0.107808458,505.4574588,-0.82089138
DEU,Germany,513.5250558,17.73867211,17.45552429,1.355115652,507.6765298,1.769955623,524.1207993,1.416810162
VNM,Viet Nam,511.3382075,14.2487,13.2605,NA,508.2189904,NA,528.423259,NA
AUT,Austria,505.5407432,18.65492851,14.28827246,-0.005379065,489.6093354,-0.190914873,505.7812471,-0.842651216
AUS,Australia,504.1507663,19.66714567,14.80972189,-2.20563639,511.8039977,-1.439515355,521.4947463,-0.908547062
IRL,Ireland,501.4974602,16.89669668,10.65308415,-0.608439301,523.1732102,-0.894745671,522.0039592,2.271274211
SVN,Slovenia,501.1274224,20.08658044,13.71346843,-0.56274537,481.3162835,-2.211072757,514.142555,-0.807420216
DNK,Denmark,500.0267566,16.84063699,9.973092083,-1.76263761,496.1308814,0.062311826,498.4742014,0.413184836
NZL,New Zealand,499.7499028,22.64408499,15.00081127,-2.49389616,512.1867933,-1.125841872,515.6363187,-2.460153695
CZE,Czech Republic,498.9578823,20.96310915,12.87692223,-2.50047147,492.8897382,-0.451332904,508.2990794,-1.028778333
FRA,France,494.9846743,22.35435323,12.89139553,-1.549294686,505.4814834,0.015079077,498.9708942,0.628503865
GBR,United Kingdom,493.9342309,21.81278264,11.83116074,-0.2592517,499.3231151,0.69651213,514.1293211,-0.109846138
ISL,Iceland,492.7956972,21.47619271,11.15181158,-2.172591093,482.5224399,-1.302613474,478.1545962,-2.042225709
LVA,Latvia,490.5710214,19.94283701,7.987413071,0.467053974,488.6944138,1.888397447,502.1861921,2.038329267
LUX,Luxembourg,489.845098,24.33137664,11.23068808,-0.339452716,487.8070428,0.699715196,491.2151757,0.85661623
NOR,Norway,489.3730703,22.30903711,9.399487351,-0.307492271,503.936686,0.102328793,494.5239347,1.336503734
PRT,Portugal,487.0631813,24.90607883,10.63382402,2.782547494,487.7576872,1.566288407,489.274732,2.454047051
ITA,Italy,485.321181,24.66893143,9.923158842,2.698314724,489.7544033,0.496741018,493.5414818,3.023457612
ESP,Spain,484.3192978,23.60540386,8.00053809,0.058839101,487.9391816,-0.336750535,496.4458228,1.331885822
RUS,Russian Federation,482.1694157,23.95224419,7.790212963,1.066942656,475.1493741,1.097073813,486.29549,1.03598885
SVK,Slovak Republic,481.644744,27.46386089,10.96664346,-1.396179082,462.7670328,-0.130649041,471.1931773,-2.670972004
USA,United States,481.3667863,25.84588803,8.77170196,0.309443399,497.5817181,-0.295270944,497.4098115,1.422391559
LTU,Lithuania,478.8232774,26.01830598,8.061096837,-1.406506545,477.3066115,1.083834598,495.7000864,1.280818415
SWE,Sweden,478.2606359,27.07191566,8.010918952,-3.31713517,483.3350056,-2.759794016,484.7989658,-3.072298637
HUN,Hungary,477.044455,28.06169089,9.264176722,-1.257498801,488.461334,1.00366814,494.3023512,-1.573951935
HRV,Croatia,471.1314608,29.86944667,6.984301536,0.636597253,484.5650321,1.194008628,491.3565828,-0.314915315
ISR,Israel,466.4814301,33.50217472,9.367115674,4.164014494,485.8032124,3.654067534,470.0726618,2.753662429
GRC,Greece,452.9734269,35.68920548,3.902226982,1.076670708,477.1971765,0.466830338,466.7220295,-1.109330852
SRB,Serbia,448.8591302,38.90989961,4.570901226,2.248537921,446.1301955,7.603377946,444.8041109,1.539964294
TUR,Turkey,447.984415,41.9801891,5.869684077,3.229928697,475.4914661,4.104404893,463.4129091,6.446008533
ROU,Romania,444.5542428,40.82429924,3.177505631,4.899876362,437.5994883,1.105857013,438.7680562,3.387765303
CYP,Cyprus,439.6963828,42.0295,3.7013,NA,448.9529787,NA,437.676459,NA
BGR,Bulgaria,438.7382599,43.75657728,4.062094163,4.247232253,436.1257253,0.438580861,446.4687094,2.048731514
ARE,United Arab Emirates,434.0071647,46.2835,3.4751,NA,441.7037361,NA,448.3702959,NA
KAZ,Kazakhstan,431.7984085,45.24358678,0.935586823,8.971238799,392.7362333,0.775385597,424.707523,8.11046139
THA,Thailand,426.7374913,49.737393,2.568491694,1.041609786,441.2199343,1.088618905,443.9999351,3.867102426
CHL,Chile,422.6323554,51.54235683,1.580853913,1.884727264,441.3981633,3.101041503,444.9339197,1.132458606
MYS,Malaysia,420.5129676,51.75434028,1.343437816,8.127421548,398.1960598,-7.807991926,419.5026485,-1.364483498
MEX,Mexico,413.2814667,54.71219874,0.627554809,3.119814352,423.5537618,1.100021642,414.9201477,0.855763497
MNE,Montenegro,409.6266133,56.64666108,1.041747497,1.719549784,422.1113543,5.022721069,410.0976023,-0.283146493
URY,Uruguay,409.2915679,55.78440601,1.372374472,-1.397482438,411.348919,-1.83148641,415.8429355,-2.075283929
CRI,Costa Rica,406.999867,59.87320292,0.564148634,-1.192758629,440.5478107,-1.016546601,429.3509675,-0.565143945
ALB,Albania,394.3293334,60.66497378,0.797171864,5.622758968,393.9642519,4.137486324,397.3732136,2.225822677
BRA,Brazil,391.459889,67.08908965,0.753113583,4.058286248,410.1218477,1.228996656,404.7105293,2.315454008
ARG,Argentina,388.4317099,66.48493112,0.27288383,1.189243995,395.9791227,-1.586199962,405.632005,2.392765651
TUN,Tunisia,387.8246296,67.74998777,0.787889452,3.054769976,404.0784673,3.758085524,398.0464509,2.159945676
JOR,Jordan,385.5955564,68.56218572,0.562581487,0.238052245,399.0347471,-0.319289104,409.3672147,-2.097434944
COL,Colombia,376.4886011,73.81701648,0.301502389,1.068280118,403.4025341,2.974375554,398.6786316,1.754951232
QAT,Qatar,376.4483986,69.55501034,2.019782495,9.237902462,387.5041309,12.01442549,383.6425534,5.404704419
IDN,Indonesia,375.1144517,75.69394156,0.275681178,0.652496035,396.1200945,2.326951435,381.9114849,-1.884285171
PER,Peru,368.1025471,74.58139669,0.572738467,0.998424963,384.1512235,5.207043732,373.1134484,1.253892338
