都道府県,男子生徒数,男子身長,男子体重,男子肥満,男子普通,男子痩身,女子生徒数,女子身長,女子体重,女子肥満,女子普通,女子痩身
北海道,20499,161.33,50.23,9.8,87.3,2.9,20051,155.42,47.05,7.2,88.7,4.1
青森県,5423,161.51,51.21,11.1,87.1,1.7,5209,155.45,48.60,10.4,87.2,2.5
岩手県,5527,160.63,50.25,10.4,87.7,1.9,5102,154.84,47.99,9.6,88.4,2.0
宮城県,9598,160.90,50.19,10.2,87.7,2.1,9348,155.06,47.83,9.0,87.7,3.3
秋田県,3873,161.98,51.26,10.0,88.1,1.9,3724,155.52,48.07,8.8,88.2,3.0
山形県,4336,160.90,50.00,9.4,88.5,2.2,4234,155.28,47.69,7.9,89.0,3.0
福島県,8191,160.31,50.16,11.5,86.9,1.6,7991,154.79,47.96,9.7,87.4,2.9
茨城県,12142,159.85,49.10,9.2,88.6,2.2,11530,154.63,47.40,8.6,88.5,2.8
栃木県,8472,159.63,49.06,9.8,88.4,1.8,8145,154.65,47.55,8.6,88.8,2.7
群馬県,8892,159.86,48.95,8.7,88.9,2.3,8307,154.78,47.04,7.9,88.6,3.5
埼玉県,29030,159.76,48.18,7.0,90.5,2.5,27850,154.98,46.78,6.1,90.2,3.7
千葉県,23311,159.89,48.16,7.0,90.2,2.7,22460,154.91,46.59,5.8,90.0,4.2
東京都,37985,160.55,48.88,7.5,89.8,2.8,35082,155.40,46.91,6.0,89.9,4.1
神奈川県,30707,160.04,48.00,6.5,90.3,3.2,29305,155.13,46.02,4.9,90.0,5.0
新潟県,9303,160.83,49.13,7.7,90.0,2.4,8791,155.58,46.94,6.0,89.8,4.2
富山県,4555,160.98,49.36,6.7,91.3,2.1,4410,155.61,47.30,6.6,90.2,3.2
石川県,5152,160.64,48.96,6.7,91.2,2.1,4902,155.52,47.15,5.8,91.0,3.3
福井県,3426,160.48,48.76,5.8,92.4,1.7,3345,155.46,47.22,5.9,91.4,2.6
山梨県,3547,160.08,49.17,9.4,88.5,2.1,3202,154.45,46.87,7.7,88.7,3.6
長野県,8927,159.60,48.13,7.0,90.6,2.4,8709,154.69,46.20,6.0,89.6,4.4
岐阜県,8971,159.72,48.27,6.7,90.8,2.5,8636,154.73,46.69,6.3,90.3,3.4
静岡県,15008,159.73,47.81,6.6,90.3,3.1,14309,154.69,45.83,4.8,90.4,4.9
愛知県,32354,159.56,48.04,7.2,90.0,2.8,30850,154.55,46.15,5.7,89.9,4.4
三重県,7728,159.89,48.20,7.0,90.2,2.9,7396,154.85,46.09,5.3,90.2,4.5
滋賀県,6519,159.93,47.90,6.1,91.0,2.9,6164,155.14,45.92,5.1,89.7,5.3
京都府,9065,160.01,47.91,5.5,91.4,3.1,8663,155.02,46.02,4.4,90.8,4.8
大阪府,33241,159.89,48.14,7.0,90.0,3.0,31964,154.96,46.24,5.4,90.1,4.6
兵庫県,21179,159.57,47.53,5.9,90.7,3.5,20560,154.91,45.69,4.2,90.5,5.3
奈良県,5518,160.09,48.37,7.1,89.8,3.1,5054,154.96,46.37,5.9,89.2,4.9
和歌山県,3716,159.78,49.20,9.8,88.3,1.9,3524,154.72,47.22,7.8,88.6,3.5
鳥取県,2482,160.16,48.51,7.0,91.5,1.4,2263,155.10,46.95,6.7,89.6,3.7
島根県,2604,159.07,47.68,6.0,92.0,2.0,2543,154.38,46.69,6.3,90.9,2.8
岡山県,8062,159.58,48.21,7.2,90.5,2.2,7574,154.45,46.44,6.4,89.8,3.8
広島県,10830,159.17,48.16,7.8,90.3,1.9,10512,154.18,46.67,7.3,89.4,3.4
山口県,5442,158.78,47.97,7.3,91.3,1.4,5182,154.16,46.55,7.1,89.8,3.1
徳島県,2974,160.10,49.85,10.9,87.5,1.6,2880,154.53,47.62,9.0,88.0,2.9
香川県,4025,159.55,48.69,7.3,91.0,1.6,3882,154.29,46.98,7.7,89.3,3.0
愛媛県,5835,159.38,48.31,7.0,91.1,2.0,5494,154.21,46.82,6.7,90.7,2.6
高知県,2365,159.60,48.84,8.8,89.4,1.9,2234,154.16,47.57,9.7,88.2,2.1
福岡県,20569,159.60,48.06,6.7,90.6,2.7,19665,154.69,46.49,6.3,89.9,3.8
佐賀県,3696,159.36,48.48,7.4,91.1,1.5,3541,154.58,47.30,8.3,88.9,2.8
長崎県,5821,159.71,48.65,7.0,91.3,1.7,5574,154.53,46.95,6.5,90.4,3.1
熊本県,7707,159.55,48.63,8.1,90.1,1.8,7365,154.68,47.36,8.4,88.5,3.1
大分県,4679,159.61,48.88,8.9,88.5,2.5,4471,154.59,47.32,9.0,87.0,4.0
宮崎県,4639,159.06,48.72,9.0,89.7,1.3,4410,154.05,47.48,9.6,88.2,2.2
鹿児島県,7071,159.30,48.39,8.3,90.1,1.6,6628,154.47,46.96,7.6,89.2,3.1
沖縄県,7037,159.38,48.90,9.6,88.3,2.1,6701,153.69,47.09,8.4,89.2,2.4
